,BICCN2_gene_celltype_1_EX,BICCN2_gene_celltype_2_IN,BICCN2_gene_celltype_0_NN,GSE111586_gene_celltype_1_EX,GSE111586_gene_celltype_2_IN,GSE111586_gene_celltype_0_NN,GSE123576_gene_celltype_1_EX,GSE123576_gene_celltype_2_IN,GSE123576_gene_celltype_0_NN,GSE126074_gene_celltype_1_EX,GSE126074_gene_celltype_2_IN,GSE126074_gene_celltype_0_NN,GSE127257_gene_celltype_1_EX,GSE127257_gene_celltype_2_IN,GSE127257_gene_celltype_0_NN,GSE1303990_gene_celltype_1_EX,GSE1303990_gene_celltype_2_IN,GSE1303990_gene_celltype_0_NN
2862,Gm47378,Acbd6,Slc35a2,Gm18752,Gm22593,Htr2b,Anapc7,Stag1,Vmn2r-ps25,Edil3,Rps24,Gm11805,Dsg1c,Chac2,Olfr1189,Nwd2,Pign,Alcam
2863,Mbp,Arid2,Gm15197,Gm35216,Gm24396,Zfp213,Lmbrd1,Mex3c,Gm13123,C77080,Tubg2,Vstm4,Abcc2,Gcnt7,Olfr483,Ybx3,Trem1,Tnfsf13
2864,Gm29154,Rap1a,Cyth4,Ttc9,Gm12438,Gm3187,Aspdh,Gm2885,Gm48270,Bmyc,Fyco1,Tmem199,Zc3hav1l,Rps27rt,Olfr923,Sertad2,Gm33866,Gm35035
2865,Lhfp,Rnf165,Xrcc3,Gm37613,Gm44837,Gm7736,Gm13198,Rnft1,Gm9095,Rnf150,2310033P09Rik,Lama3,Mnx1,Olfr871,Defb3,B3galt4,Gm36858,Gm34280
2866,Gm25635,Scmh1,Zscan5b,AC141639.3,Gm11406,Stam,Trit1,Papss1,Gm38832,Gm13096,Efcab14,BC065397,Rbm45,Ccl6,Olfr183,Gm27668,Vmn1r59,Gm43921
2867,Gm49016,Cyp4f18,Gm13019,AC121797.1,Cst10,Psmd1,1110008P14Rik,Fnip1,Kif7,Slc44a1,Pcdh1,Plpp4,Ppp2r3d,Zscan4c,Vmn1r207-ps,Agrn,Rpl21-ps5,Serbp1
2868,Ddr2,Trp53bp1,Gm43608,Gm24228,Serinc5,Mrc1,Ipcef1,Dixdc1,Gm47718,Csgalnact1,Hccs,Dusp23,Cdh16,Btbd35f23,Zfp735,St3gal2,Gm14402,Gm8000
2869,Nefh,C2cd4a,Raxos1,Gm4846,Cavin4,Ncl,Gm16061,Rbm28,Gm2412,Gm26679,Rprd2,Rhog,Zfp626,Fgl2,Olfr263,Snx5,Mir6351,Rnft1
2870,9430069I07Rik,2610012C04Rik,Gm30251,Gm13462,Gm17501,Nsun6,Ube2e2,Zfp346,Gm47478,Mynn,Mir5130,Mir7029,Slc2a7,Vmn1r186,Tas2r143,Gm37519,Gm10408,Gm16565
2871,Gm11364,Gm27672,Gm8623,Gm26141,Gm7653,Gm42815,Cpne4,Gast,n-R5s60,Ciart,Car5a,S100a14,Prph2,Fpr-rs6,Olfr1219,Gm25951,Gm42662,Zfp182
2872,Cwc22,Pdyn,Gm15009,Plbd1,Gm13180,Gm38082,Col27a1,Dmrtb1,Gm22291,Gm24517,Mir26a-2,Bpifa6,Tmem70,Tctex1d4,Olfr1168,Phf12,Fbxo15,Gm6820
2873,2810032G03Rik,Fam163b,Erbin,Anp32-ps,Trpm6,2010103J01Rik,Cep41,Patz1,Gm47437,Rbm33,Gm12996,Exoc3l4,Hint1,Hspb9,Olfr825,Gm49715,Asxl1,Gm19972
2874,Gm32281,Ugdh,Gm44386,A230085B16Rik,Col6a6,Gm22450,Gm44757,Hmcn2,Prl7a1,Mtmr3,4930577N17Rik,Zbtb39,Rab39,Tspan31,Ngp,Gm42972,Gm4425,Flt3l
2875,Ubr1,Commd7,Gm25475,Gm24579,Gm38295,Hapln2,Zfp462,Tnip1,Gm21863,5430430B14Rik,Med21,Gm17229,Slc9a3,Slxl1,Hyal5,Asphd1,Cftr,Gm48727
2876,Mosmo,Cpne6,Gm17749,Nlrp9c,Gm23841,Prcc,Slit2,Nfe2l1,Gm25059,Tmem128,Trip10,4932431P20Rik,Col6a1,Defa29,Jrkl,Gm18114,7530428D23Rik,Arfip2
2877,Tenm3,Asxl1,A330033J07Rik,Robo4,Gabpb1,Gm47133,Pepd,Gm13855,Gm26525,Snx29,Gm47438,Apc2,Taf8,Gm11595,Cpvl,Cacng8,Fam205a4,Rel
2878,Gm42927,Smc3,Gm22406,Fgf8,Cit,Gm17222,Grm5,Gm37427,Gm10807,Gm25801,Kcnk15,Gm28529,Eif3g,Btbd35f27,Lgals1,Gart,Cbx3-ps2,Gm38562
2879,Slc39a11,Washc5,Slc10a6,Gm8676,Gm24169,Rrnad1,Gpc1,Znrf4,Gm12428,Vps18,Dctn1,Gm11714,Gdf5,A430089I19Rik,1700012B09Rik,Klhl40,Emilin2,Gm25571
2880,Gm16271,Gm22740,Soat1,Mbd2,Bdnf,Gm38642,Twsg1,Xrcc3,Gm10600,Elmod1,Gm36738,Hsd17b12,Ell,4930503B20Rik,Il13ra1,Adcyap1,Gm23952,Gm24424
2881,Gm11802,Ehbp1,Gm44968,Gm25660,Rps19-ps12,Gm49752,Galr3,A730020E08Rik,Gm9125,Prkci,Phf20,Hes1,Has2,Vmn1r118,Olfr1387,Gm44703,Gm14363,Bcl3
2882,Rnf149,Gm26902,Gm10320,Rnf43,Rpl23a-ps9,Hdgf,Myl6,Rbms1,Gm14409,Gm29243,Tcerg1l,Pde11a,Immp1l,Vmn1r135,Serpina3j,Med7,Pgk2,Mir6921
2883,Gm37193,Acadsb,Gm15503,9230102K24Rik,Kank1,Gm22447,Acvr1c,Sdhb,Gm21980,Esco2,Opn5,AL805899.2,Cptp,Cyp2a4,Cyp21a1,Gm17651,Gm26134,Gm22662
2884,AC171111.1,Rhcg,Gm20219,1700112K13Rik,Slc26a9,Gm7740,Miga2,Lemd3,Gm37185,Tspan13,Upf2,Ctsk,Dnph1,Ormdl2,Olfr688,Gm23776,Pabpc1l,Gm42569
2885,Pkhd1l1,Tsc22d1,Gm10385,Gm22839,Irgm1,Gm47068,Gm11955,Acvr1,Gm49253,Pum3,Rnu3b3,Rbm15,Erich5,Ecm2,Cct8l1,Lrrtm3,Fer1l4,Ucp3
2886,Spag9,Gpr83,Itga6,Gm26937,Sipa1l3,Gm10340,Smurf1,Naca,Gm21811,Gm22934,Samd5,Elf3,Prpf4b,1600012H06Rik,Defb29,Gm26664,Gm47384,Olfr1421-ps1
2887,Gm18212,Gpr12,Tmem141,Dnase1l3,Gm2611,Gm5232,Gm12059,2900060N12Rik,Gm11566,Cacna2d1,Ccdc105,Eef1akmt1,Gal3st2,Flrt1,Lce6a,Cabyr,Fgfr2,Nubp2
2888,Scn3a,Gm2691,Msi1,Slc11a2,Sox13,Gm5966,Prkg1,Cnot11,n-R5s102,Fam174b,Smad4,Mns1,Dsg4,Vmn1r101,Prl3b1,Dus3l,4930503E24Rik,Kiz
2889,Odf2l,Rbks,Grtp1,5330411O13Rik,Gm37582,Maoa,Ido2,Dtd2,Gm9726,Gm17756,Ndufb2,Myh14,Grap,Gm6902,Gykl1,Gast,Gm22251,Pdpn
2890,Ntsr1,3110039M20Rik,Gm13006,Defb25,Ccdc88a,Efhc2,Islr,Adnp,Gm42905,Vsig2,Mrfap1,Dnajc4,Eif4e3,Lrat,Pinlyp,Eif2d,Gm10634,Snord35b
2891,Gm47335,Inafm1,Gm12708,Fam205a2,Gm5575,Gm24861,Asns,Sptlc2,n-R5s119,Rabac1,B130055M24Rik,Ppp1r9b,Copb1,Olfr1453,Trmt2a,Gm15749,Adam34,Gm27844
2892,Ank,Gm47950,4930505M18Rik,Gm48731,Lman2l,Gm36858,Gm29154,Fpgt,Gm49141,Hspd1-ps3,Tmem64,2810457G06Rik,Micos13,Dlx2,Prss58,Mir7080,Gm23280,Gm14114
2893,Ccdc113,Rpl30-ps8,CT033755.1,Gm21586,Frrs1,Gm46136,Gm15567,Gm32391,Gm14358,Ralgapb,Gm14770,Fbxo7,Chrnb2,Vmn1r121,Lpar4,Synrg,Tbc1d23,1700042O10Rik
2894,Tlk2,Usp47,Gm25435,Pygb,Parp8,Gm26427,Eml5,Gm14966,Gm45223,Gtf2f1,B4gat1,Kdm3b,Cmss1,Tslp,Olfr156,Gm45371,Gm22021,Gm44983
2895,Gm25534,Gm24647,Gpr62,Rasgef1a,Gsg1,Gm21965,Brd1,Ago1,Gm10552,Slc8a1,Zfp319,Gm45139,Bloc1s4,Gm20806,Olfr491,Ddx5,4930572G02Rik,Lmf2
2896,Npsr1,Agbl1,Gstm1,Gm15657,Tmem178b,1700020M21Rik,Gm9946,Sla,Gm20186,Arhgap1,Dzip1l,Arl10,Tfap4,Vmn1r175,Olfr810,Hps4,Slc26a8,Mir5621
2897,Gm36827,Trpc3,Thsd1,Itsn2,M5C1000I18Rik,Gm47173,Cyth2,Slc39a6,Kazn,Gm36736,Sfxn1,Mir6378,Trim42,Gm14743,Myocos,Entpd7,Vps8,Psmb9
2898,Sort1,Wiz,Rint1,Ptprv,A1cf,Pcdha4,Col9a1,Nsd3,Ifnz,Ephb2,Pigo,Dpp9,Rassf9,Kcnj13,Olfr821,Gm15860,Gm43042,Hadha
2899,Tsen15,Gm28639,Dusp18,Dhx35,Gm9836,Bcan,Gm8738,Nexn,Opn4,Fbxl19,Srrm1,Laptm4a,Ogfod3,Olfr487,Olfr742,4930423C22Rik,Eif3s6-ps4,Mecp2
2900,Gm43135,Azi2,Nuak2,Sept7,Anks6,Gm22786,Cfap157,Cc2d1b,Gm13532,Macc1,Gm49475,Gm47157,Rundc1,Svs1,Olfr1249,Gm25000,Cbx3-ps1,Prox2
2901,Kcnk4,Gm44760,Slc15a3,Gm7964,Usp37,4930551I23Rik,Fxyd7,Flrt1,Xlr5d-ps,Fra10ac1,Zmynd19,4930478M09Rik,Sdf2l1,Vmn1r83,Rhox4g,Gm3551,Wdr33,Scd1
2902,Spred1,Sirt5,Gm15133,Noc4l,Fam155a,Gm10413,Fbxl22,Mapre1,Gm9758,Ncf2,Sphk1,Paxip1,Hpgds,Defa17,Fzd10,Gm40493,Gm7968,Fbrsl1
2903,Sh3rf1,Tubg2,Gm44736,Pcmtd1,AC115692.2,AC147251.1,Gm31518,Gm49436,Gm22863,Ctdspl,Psmg3,Gm23497,Gm853,Foxh1,Taar6,C330013E15Rik,Bsph2-ps,Pkm
2904,Dennd5b,Tigar,Cfh,Gm18493,Nbdy,1500004A13Rik,AC154538.2,Ptma,Gm25230,Gm42738,Srsf6,Nipsnap2,Tgoln1,Haspin,Olfr1140,Iqcc,Gm44134,9430065F17Rik
2905,Stk3,Tesk1,Tspan7,Rasgrp3,Gm6087,4930403O18Rik,Gm11417,Ppp1r3f,Gm12029,Gm10425,D930007P13Rik,Gm7760,Meiob,Tmlhe,Olfr1040,Gm44466,Slc25a12,Extl3
2906,Gm15046,4930594M22Rik,Gm44600,9330159N22Rik,4930512H18Rik,Crabp2,Plat,Gm31452,Gm11382,Kntc1,Tecpr1,Gm3336,BC061237,Gk2,Olfr1082,Terb1,Kntc1,Gm11527
2907,Gm26210,Kcnc3,Spata1,Tcl1,Mprip,Mir8106,Galntl6,Tmprss6,Gm29719-1,Pak3,Vldlr,Stoml2,Meikin,Scgb2b12,Mcpt9,Sp4,Dtnb,Gm43581
2908,Gm8795,Paxip1,Gm10030,Gm4913,Kcnh7,Gm27700,B230303A05Rik,AU041133,Gm26032,Gm13400,Armcx1,CR974462.6,Il1f6,Gm4201,Olfr1507,Tmem145,Aldh1l2,Mir365-2
2909,Gm47594,Gm37521,Olfr9,4930549G23Rik,Dcdc2a,Gm27545,Pcgf2,Rpn1,4933433G19Rik,Sptbn5,Sgca,Wfdc1,Fam110c,Vmn1r151,Acrv1,D630033A02Rik,Cep63,Jagn1
2910,Gm15894,Gm16099,Gm47948,Gm26338,Gm41041,AC148008.1,Camsap1,Caml,Gm22812,Trmt13,Th,Nckap5,Tmem174,Vmn1r215,Defb11,Mfsd3,Gm13169,AC169509.1
2911,Gm42813,1700056N10Rik,Gm37074,AI314278,Eno1,AC115631.1,Akap7,Gm36169,Gm22823,Gm43066,Adgrg3,6430503K07Rik,Spin4,Olfr403,Olfr1242,Olfml2b,Gm8929,Rpl26
2912,Stard3nl,Gm39375,Gm11696,Gm24371,Cnpy1,Gm49590,Ppil1,Nup93,Gm24877,Wdr13,Tst,Gm37556,Fbxl6,Defa2,Pih1d3,Ncbp3,Gm14401,Gm10582
2913,Nsf,Mir7080,Klk4,4933402J07Rik,Adcy5,Gm33699,Tmprss6,Ndufa12,Gm7045,Phc2,Nlk,Mrpl42,Rhbg,Higd2a,Olfr677,Kpna6,Gm7446,A730015C16Rik
2914,Gm49397,Gm27587,Gm16174,Gm6195,Tbr1,Gm30726,Hic1,Knop1,Gm22047,4930543E12Rik,Ubac1,Plpp3,Crabp2,Scgb1b29,1110025L11Rik,Klhl23,AC163221.1,Ppm1m
2915,Numbl,Fam81b,Gm42603,Gm43564,S100a3,Gm23424,Xpo6,Sgcd,2810047C21Rik1,Gm11451,Rps19bp1,Wwtr1,Mrfap1,Adh7,Gm13178,Zfp512b,Gm19418,Scrg1
2916,Zmynd11,Col6a4,Ankrd52,Vmn2r7,Sema6d,Gm37253,Kit,Gpr85,Pabpc1l2b-ps,Mcm5,Gab2,Rnf103,Tert,Cphx2,Gm13757,Rap2a,Gm7682,E130307A14Rik
2917,Mir124a-1hg,Zfp692,Gm29895,Pde2a,Nmu,Gm10410,Gm47705,Sec24a,Gm12611,Rtn3,Rb1,Gm23609,Olfr95,Gm20831,4930402K13Rik,Mmp9,Kat2b-ps,Gm10461
2918,B3galnt1,Eif3b,Cnksr3,Gm48060,Zfp867,Gm26416,Cds2,Gm10053,Gm25089,Bcl2l10,Atp5f1,Gm14276,Olfr435,Kcne4,Olfr1333,Kri1,Gm5947,Abhd16b
2919,Cdh22,Dach1,Zfp74,Bub1b,Ccdc81,Gm3033,Gm831,Xkr4,Gm8065,Lrp8os2,Gm27032,Cgnl1,Samd11,Tmem190,Gm382,Bbs10,Myct1,Lrp8os1
2920,Lrrc10b,Abcc5,AL626765.1,Skil,Nars2,Gm25916,Gm48080,4930404H24Rik,Gm9745,1700003G18Rik,Foxred2,Gm12148,Ak8,Gnaz,Serpina1c,Vstm2l,Defa26,Ndufs1
2921,Gpt2,Ercc6,Gm38140,Fam155a,Lsamp,Nes,Gm29050,Zmynd11,Gm7719,Serac1,Fam193b,Rnf216,Crh,Gm5891,Olfr924,Gm21586,Ttll8,Bcl2l12
2922,Smad2,Gm17806,Gm25044,Speer4b,Nupl2,Gm26075,Sugp2,Kmt5c,Gm9008,Nkapd1,Gm18405,Gm22597,Spink1,Vmn1r126,Olfr239,Sac3d1,Gm2736,Gm14493
2923,B230334C09Rik,Gm47714,4930555O08Rik,Mir6354,Cul1,Gm49681,Mapk8ip2,Agap3,Gm26188,Spata4,Usp6nl,Dctn2,1700122O11Rik,1700020N15Rik,Cypt12,Csnk1e,Gm26968,Apobec3
2924,4930517O19Rik,Socs2,Cfap20,Heg1,Slc35f5,Mir7035,Gpat4,Gm27316,Alms1-ps2,Gm5136,Fut8,Adgre1,Exo5,Btbd35f12,Vmn2r53,Rpl10,Gm4870,Gm13983
2925,Gm49179,Hsd17b12,Gusb,Abcg8,Adam28,Gm2866,Pla2g2e,Gm14229,Gm22252,Csnk1g3,Myrf,Gm22378,Ndufaf1,Gpr146,Krtap22-2,Anapc7,Gm11236,Cdk5
2926,Gm49474,Sptbn4,4930544F09Rik,Platr19,Rbms1,Gm11105,Ipmk,Zfp639,Gm31181,Clspn,Npm2,Nosip,Chat,Btbd35f11,Cyp2c67,Gm14472,Gm12133,Gm4285
2927,Abcg2,Sh3rf1,Gm34589,Gm11389,Gm49521,AC141471.4,Slc45a1,Hinfp,Snord116l5,Gm30731,Gm8113,Gm26512,Dock8,Defa37,Olfr910,Gm42669,Stox1,Ube2d3
2928,Vopp1,Apaf1,Gm14473,Gm8128,Rgs8,Gm47092,Tango2,Mmab,Gm25350,Igfbp3,Slc5a6,Gm28195,B3gnt3,Taf7l2,Olfr1166,Gm48758,Gm17027,AC126937.1
2929,Stx18,Psen2,4921514A10Rik,Dbnl,Gm8840,Olfr270,Ccnk,Atpaf1,Cyp4a32,Gm36745,CAAA01141682.2,Kcng4,4930564D02Rik,Tas2r116,Olfr994,Gm17231,Tulp4,Emc8
2930,Slc30a3,Cdan1,1700023C21Rik,Gm12513,Arhgef33,Gm2349,Zfp385a,Ccdc141,Mlc1,Gm43602,Mxi1,Igsf21,Gzf1,E030018B13Rik,Cxcl15,R3hdm4,Gm6471,Gm15816
2931,Ndufb2,Zfp746,Kank4os,Gm8486,Gm13475,Gm31752,n-R5s73,Xpr1,Vmn1r-ps47,Mir7681,Dnlz,Gm27646,Yif1a,Krtap10-4,Rhox4a,Nufip1,Gm41409,Mapk9
2932,Psmd4,1700021P04Rik,Gtpbp3,Dhrs7c,Adcy10,Gm3488,Mfsd10,Gm44755,Tcte3,Dyrk1a,Axin2,Zfp90,Spata9,Glra4,Vmn1r201,Nudt19,4930543K20Rik,Apba3
2933,Csrnp1,Gm47053,Gm40652,Mrgprb2,Gm18646,Mir344d-3,Rab6b,Mbtps1,Rn7s6,Tmem168,Zbtb20,Gm44093,Ndufs3,Olfr596,Amy2a5,Rps12-ps24,Olfr8,Gm30003
2934,n-R5s188,Ice2,Mir3076,Gm23642,Ppm1k,Rasa4,Cdkl2,Alg12,Gm12905,Gm47128,Gm43997,Pdgfrb,Avpr1a,Gm11127,Svs4,Rnu3b3,Gm14428,Pitx3
2935,Fam78a,Spns3,Gm24319,Gm13506,Mroh3,Ift22,Gpr25,Luzp2,Gm6586,Gm17832,Acad11,Rpl26-ps5,Gm13889,Olfr819,Krtap16-3,Pex26,Stag1,Dse
2936,Slc37a1,Hbegf,Etaa1,Lyst,Nfrkb,Gm5225,Gm16295,Palm,Cd3d,Mrps23,Gm48306,C1galt1c1,Aqp3,Rtp3,Gm21319,Timm21,Skint4,Fgd6
2937,Gm3332,Tnip1,Olfr647-ps1,Herc1,Gorasp2,Mir8116,Lmo1,Senp2,Vcp-rs,Erc1,Mrto4,Mrln,Sox18,H2-Oa,Gm4981,Gm10287,Vmn2r114,Gm27017
2938,Gm47683,Gm15345,Gm37549,Gm44334,Lama4,Pcdha7,Krt222,Dock6,Gm49504,Abcc5,Tssk6,Cfl2,Cma2,Cyp2a22,Ifna2,Gm44542,Gm48238,Gm14866
2939,Gm45263,Emsy,Gm26523,1700065O20Rik,Marco,Rplp1,Dtna,Carnmt1,Pcna-ps2,Gm6980,L3mbtl3,Fam199x,Il2rb,B2m,Wfdc13,Gm14046,Gm18421,Nradd
2940,Mettl21e,Gm14330,Gm37882,Hnf4aos,4930505G20Rik,Gm43649,P2rx7,Gm47438,Gm16589,Srp68,Spdya,Gm44116,Tram1l1,Gm5726,Olfr576,App,Gm49281,Zbtb22
2941,9230116N13Rik,AC118724.2,Gm37234,Pcdh18,Gm6482,Riok2,Tsku,Otud7a,Gm25474,Rabggta,Erlin2,Eda,Mgam,Cts7,Vmn1r205,Ubtd2,Gm9540,Gm45722
2942,Gm37567,9130213A22Rik,Pgghg,Spire1,3830408C21Rik,Pcdhac2,Cmas,Eif4enif1,Syde1,Gm9573,Commd7,Gm43972,Arl6ip6,CAAA01118383.1,Defb45,Hnrnpul1,Gm14120,Gm23780
2943,Spesp1,Pparg,Gm37556,4930563H07Rik,Rbm26,Gm10253,Jmjd1c,Zkscan5,Pgk1-rs7,Ccdc191,Plekhh1,Gm32531,Bbip1,Vxn,Gm5796,Mto1,Ehd4,Gab2
2944,Gm36539,Paqr8,Gm10451,Gm15989,Gm11033,Gm8305,Mir7044,Odr4,Gm10874,Gm4606,Rpl23a,Zdhhc19,Rcn2,Aadacl4,Olfr921,Piezo1,Csmd3,Gm42449
2945,Serbp1,Col14a1,Pfn1,Rimbp2,Usp17lc,Gm8159,Capn15,Rbm15b,Rps6-ps4,Ddr2,AI854703,Rnf146,Mex3a,Trpt1,Sprr3,Numb,Gm31816,BC049762
2946,Olfr464,Gm47515,Tomm40,Mir1929,Phox2b,Gm3005,Cds1,Irak1bp1,Gm22108,Gm2824,Scgn,Gm26411,Ramp3,Gm10666,Olfr1232,Ppp1r35,Gm22623,Ube2g1
2947,1700025N23Rik,Cda,Gm15972,Avl9,Nfat5,0610009B22Rik,Gm18699,Mepe,Gm9121,4930554H23Rik,Ppp1r16a,Gm15531,Nedd1,Vmn1r48,Olfr213,Trabd2b,Hook3,AC142213.5
2948,Gm49629,Ttbk1,4933436P19Rik,Il5ra,Daglb,Gm49603,Ces1f,A930002C04Rik,Olfr108,Txn1,Bak1,Ezr,Cfap20,4933428M09Rik,Olfr220,4930401G09Rik,Gm45395,Insig1
2949,Gm46392,Prdm6,Tex24,1700120E14Rik,1700010L04Rik,Mir7671,Gm47128,Pigx,Gm9824,Gbf1,Elmsan1,Arhgap26-1,Gstk1,Gm20822,Lce1j,Gm33337,Plscr4,Ly6g6e
2950,Gstk1,Gm30691,Gm15007,Gm10542,Ankrd17,Mir344i,Spaca6,Mettl22,Gm4767,P2ry4,Trmt61b,Zmym2,Dffb,Oog2,Olfr1408,Gm10268,Tfpi,AC125110.1
2951,Gm31510,Adssl1,Mir1957a,Gck,Gm15961,Sh2b2,Ubr3,AC112949.1,Hmga1b,Epn1,Snrnp70,Gm26274,Kiss1,Btbd35f10,Olfr1301,Gm47958,Bcat1,2810414N06Rik
2952,Hrh2,2700049A03Rik,Gm6341,Gm25768,Gm14219,Gm34004,H13,Itpkc,A930017K11Rik,Slit1,Zfp202,0610039K10Rik,Pcbp1,Tmem200b,Ptf1a,Gm45864,Cphx3,Ect2
2953,Miat,Fbxl20,Gm26013,Gm16233,Yap1,Gm49753,Pip5kl1,Brat1,Gm43722,Junb,Zzz3,Daam2,Med30,Mrgpra3,Gm904,Gm4793,Pcgf5,Gm45515
2954,Phtf2,Gm43838,Gm10974,Gm29394,Dennd4c,AC154200.1,4930481B07Rik,Gm16155,n-R5s28,Gm45640,Supt4a,Prr15l,Otol1,Naa38,Gm4907,Nrip1,Vmn2r83,Gm10501
2955,Gart,Spats2,Gm43813,Zfp637,Papss2,Gm7531,Tubb3,Smim4,Gm14126,Chuk,Unc119,Elmod3,Mbip,Tsr3,Adam26a,Gm29458,Lrch1,Phospho2
2956,Tmem218,Gm20611,Gm37644,Gm47149,Gm29101,Gm428,Adcy6,Ccdc88a,Gm17383,Noa1,Gm17836,Dll3,Champ1,Fndc9,Ulbp1,Gm9916,Vmn1r219,Gpd2
2957,1810059H22Rik,Sco2,Gm25528,AC151280.1,Gm17205,Gm11237,Gm45054,Spats2,AC141639.3,Gm16232,Gria4,1110012L19Rik,Hepacam,Defa34,Pctp,Znrf2,Ccdc39,Nabp1
2958,Gm9951,A330070K13Rik,Gm6583,Gm12350,Cdca7,Ubqln4,Hsf4,Mdh1,Gm3264,Elavl3,Bola1,Gm44124,Castor2,Ssty1,Krt27,Gm44313,Bcl2a1a,Kdelc2
2959,4930526F13Rik,Gm43073,Mir338,Gm16222,Platr25,G530012D18Rik,Scaf4,Gm44930,Gm14270,6530403H02Rik,Taf15,Dusp16,Cxcl5,Gm5934,Klhdc7b,Slc35f6,Gm23733,Gm23848
2960,Gm7319,Gm49260,Gm13209,Rps6ka2,Lipc,Gm3264,Cers6,Tmem33,Rpl15-ps1,Ccnk,Tcta,Dbndd2,Gpr182,Defa21,Olfr131,Wnt4,Gm20560,Maob
2961,Clec16a,Pten,Gm24961,AC116849.1,Srp54b,AC129179.2,Gm23640,Lamb3,D5Ertd605e,Gm568,Moap1,AC125091.2,Pex13,Gm6588,Gm11563,Polr1d,Gm4732,Fkbp4
2962,Akap2,Slc4a10,Gm19708,Gm26861,Dctn1,Gm18519,Rgs7,Cep120,Gm12918,Hnrnpl,Rmnd5a,Chmp1a,Gdf7,Iapp,Olfr572,Gm37306,Gm49701,AC166172.6
2963,Ythdc1,4930444E06Rik,Gm4942,Gm7925,Gm7753,Rab25,Msh3,Ano4,Trav9n-4,Gm11516,Cspg5,Gm12969,Ppp1r3a,Olfr1463,Cyp2c65,Lmo7,Tmprss11g,Gm33926
2964,AC103939.1,Kcnab3,Gm4881,Fxr1,Invs,Ndufaf5,Pdcd6ip,Ndufv3,Gm48161,Car11,Gm12494,Gm38235,Hilpda,Cts3,Gpr65,Rheb,Vmn2r-ps131,Gm18988
2965,Gm15807,Gdf11,Serf2,Gm40999,Pold3,4930478L05Rik,Homer1,Stk11,Idi2,Spock2,Ccdc73,Gm24950,Rps7,Htr2b,Pdx1,Klhl26,Gm37957,Vmn2r37
2966,A930036I15Rik,Dgat1,Gm15969,Kif1a,Gm48623,Gm37891,Hhatl,Napepld,Gm13299,Rnf130,Slc35a5,Pld6,A2ml1,H2-T23,Nmur1,Copg2,Ptgis,Vmn2r14
2967,Gm9932,Slit1,Ldlrap1,Gm16437,Prkg2,Dtx2,Vps39,Rbm33,Acsm3,Gm24050,Rpl26,Abhd3,Cib3,Gpr82,AF067061,Stk11,Spin2-ps6,Ubald2
2968,Mir1843a,Dhx8,Tnfsfm13,Plaur,AC144797.1,Gm3012,Ficd,Gm26577,Tmprss12,Gm9395,Stk35,Gm13687,Awat1,Lrrtm3,Tas2r126,Spc24,AI506816,Plrg1
2969,Gm10044,Grn,Gm45093,Sf3b5,Tomm20,Hexa,Arfgef1,Grin3a,Gm13135,Lrrc4,Nsun3,Snx1,Ltb4r1,Olfr683,Ssx9,Gm37960,Hdc,Gm22634
2970,Nt5dc1,Id1,Gm23939,Sp1,Mtss1,Zp3,Cdh4,Sult4a1,CT485613.6,Cpa2,Tac4,Cabyr,Dpt,Olfr474,H2-M11,Gm42917,Gm30676,Reep5
2971,Fech,Luzp2,Gm26274,Gm24727,Gm13264,Gm28100,Tcea2,Pdzd4,Gm3318,Sntg2,Rab3a,Gm13921,Zfp280b,Gm4303,Vmn1r27,Gm14066,Gm7398,Gm5461
2972,Gm37217,Slc26a6,Gm36991,Plk4,Il17rd,Arih1,Slc26a4,Ddx24,Gm34312,Gm44632,Tada1,Coro6,Gp9,Vmn2r35,Cfhr1,Tpcn1,Gm15068,Tubb2a
2973,Nktr,Snx4,Gm45540,Gm10475,Gm46396,Gm29784,Ttc13,Akap13,Gm10020,Olfr464,Gm38004,Chd4,Wnt2b,Ogn,Esp6,Hsph1,Gm9794,Gm37844
2974,Ccdc85a,Fam169a,Gm13444,Ppm1b,Ncf4,Bbs4,Plk-ps1,Hcn4,Gm8206,Ist1,Rora,Gm6197,Pgam1,Mrps12,Tex101,Plppr4,Gm18877,Nat8f6
2975,Ppp1r1c,Gm37333,5330417H12Rik,Stra6,Mgat4e,Hspb1,Gm42865,Fam229b,Gm42630,Itfg2,Efr3b,Gm7369,Prps2,Lrrtm1,Fpr1,Snx11,Erbin,Gm16016
2976,Zfp622,Zfp768,AC134468.1,Gm44521,Abcg1,Adpgk,Creld1,Vipr2,Trav5n-4,Gm22845,Tubb5,Dhx57,Gpank1,Lrrc14b,Lce1a2,Mir874,Rprd1a,Irx3os
2977,Elmo2,Gm44242,Psma6,Gm15357,AC161519.2,Parp6,Pqlc1,Nampt,Gm16261,Nipal3,Acsl3,Pard6g,Med18,Lrrn3,Olfr432,Gm49069,Gm28505,Gm48075
2978,Mylip,Adpgk,4933430L12Rik,Gm23762,Gm24549,Gm5675,Arl4d,Gm7525,Cdc34b,Olfr1414,Tspan2os,Washc2,Lmod3,Msmp,Fv1,Gm26755,Fanci,Vps9d1
2979,Serpinb6a,Ube2v1,Gm11787,Gm38297,Mtfr1,Gm24427,Mir8108,Sec14l1,Gm15784,Samd7,P4hb,Gm20337,Cda,Bola2,Gsta1,Scn4b,Col24a1,Fas
