,SF_IN,SF_EX,SF_NN,CU_IN,CU_EX,CU_NN,TA_IN,TA_EX,TA_NN,TN_IN,TN_EX,TN_NN,SM_EX_L2.3.IT,SM_EX_L5.6.NP,SM_EX_L5.ET,SM_EX_L5.IT,SM_EX_L6.CT,SM_EX_L6.IT.Car3,SM_EX_L6b,SM_IN_Lamp5,SM_IN_Pvalb,SM_IN_Sncg,SM_IN_Sst,SM_IN_Vip,SC_IN,SC_EX,SC_NN
14557,Serpina1e,RP23-366O14.5,Gm7476,,,,,,,,,,,,,,,,,,,,,,,,
14558,Klb,Gm18324,Gm16364,,,,,,,,,,,,,,,,,,,,,,,,
14559,Yme1l1,Gm29692,Kpna7,,,,,,,,,,,,,,,,,,,,,,,,
14560,LOC105246305,1700064F23Rik,Gm35198,,,,,,,,,,,,,,,,,,,,,,,,
14561,Hsd17b3,LOC101055953,LOC102642196,,,,,,,,,,,,,,,,,,,,,,,,
14562,Mir6913,Gm29687,Gm6758,,,,,,,,,,,,,,,,,,,,,,,,
14563,Krtcap3,LOC102641335,Gm13675,,,,,,,,,,,,,,,,,,,,,,,,
14564,Pgam5,Gm30166,Gm32912,,,,,,,,,,,,,,,,,,,,,,,,
14565,Ugt2b35,Dhrs9,Rps19-ps12,,,,,,,,,,,,,,,,,,,,,,,,
14566,Itgb2l,LOC102636896,Gm9701,,,,,,,,,,,,,,,,,,,,,,,,
14567,Mfsd6,Gm9278,Gm8675,,,,,,,,,,,,,,,,,,,,,,,,
14568,BC061212,Ptprn2,Gm12830,,,,,,,,,,,,,,,,,,,,,,,,
14569,Itgam ENSMUSG00000108596,Gm20461,Gm11889,,,,,,,,,,,,,,,,,,,,,,,,
14570,Gm12355,Mir16-1,Gm5951,,,,,,,,,,,,,,,,,,,,,,,,
14571,Gm33580,Gm2541,Extl3,,,,,,,,,,,,,,,,,,,,,,,,
14572,4921518K17Rik,LOC102641752,Gm7143,,,,,,,,,,,,,,,,,,,,,,,,
14573,Gm31268,Gabrp,Gm5633,,,,,,,,,,,,,,,,,,,,,,,,
14574,Gm32894,Gm9546,Gm3365,,,,,,,,,,,,,,,,,,,,,,,,
14575,LOC105246403,Rdh8,Wbp5,,,,,,,,,,,,,,,,,,,,,,,,
14576,Sult2a2,Gm30248,Fut11,,,,,,,,,,,,,,,,,,,,,,,,
14577,Gm5283,Gm32024,Gm6201,,,,,,,,,,,,,,,,,,,,,,,,
14578,Gm35865,Gm15703,Gm32976,,,,,,,,,,,,,,,,,,,,,,,,
14579,Gm36937,Snord14d,Atg4d,,,,,,,,,,,,,,,,,,,,,,,,
14580,Gm26829,Il12rb2,Gm13297,,,,,,,,,,,,,,,,,,,,,,,,
14581,Pramef12,Eif2s3y,Gm29812,,,,,,,,,,,,,,,,,,,,,,,,
14582,Il13ra2,Gm16185,Gm16282,,,,,,,,,,,,,,,,,,,,,,,,
14583,Gm6712,Vmn1r-ps24,Gm35626,,,,,,,,,,,,,,,,,,,,,,,,
14584,Gm7198,Hist1h1a,Gm42765,,,,,,,,,,,,,,,,,,,,,,,,
14585,Hspa1b,Esp8,Tmem68,,,,,,,,,,,,,,,,,,,,,,,,
14586,Mir30a,Gm17974,Mdh2,,,,,,,,,,,,,,,,,,,,,,,,
14587,Rhox2e,Gm36423,Gm13365,,,,,,,,,,,,,,,,,,,,,,,,
14588,Cep128,Obp1b,Insl3,,,,,,,,,,,,,,,,,,,,,,,,
14589,4930471G03Rik,Gm32116,Prf1,,,,,,,,,,,,,,,,,,,,,,,,
14590,LOC105246536,Rpl31-ps10,Gm7781,,,,,,,,,,,,,,,,,,,,,,,,
14591,1700049E15Rik,Gm32122,Brat1,,,,,,,,,,,,,,,,,,,,,,,,
14592,Gm10614,LOC102632476,Uroc1,,,,,,,,,,,,,,,,,,,,,,,,
14593,Strip1,Gm28891,Gm6651,,,,,,,,,,,,,,,,,,,,,,,,
14594,Rpl29-ps1,LOC105246904,Rpl31-ps15,,,,,,,,,,,,,,,,,,,,,,,,
14595,Mir7080,LOC105244401,Gm6343,,,,,,,,,,,,,,,,,,,,,,,,
14596,Wdr45b,Gm3942,Nln,,,,,,,,,,,,,,,,,,,,,,,,
14597,Gp9,Lpcat3,Gm7199,,,,,,,,,,,,,,,,,,,,,,,,
14598,Gm8396,Fosl1,Gm30474,,,,,,,,,,,,,,,,,,,,,,,,
14599,Gm8826,Gm36875,Gm7313,,,,,,,,,,,,,,,,,,,,,,,,
14600,Gm31056,Bpifb3,Pcp2,,,,,,,,,,,,,,,,,,,,,,,,
14601,Gm7159,Olfr1,Gm10338,,,,,,,,,,,,,,,,,,,,,,,,
14602,LOC102238526,Gm18651,Gm16586,,,,,,,,,,,,,,,,,,,,,,,,
14603,Ppm1n,Sult2a1,Gm5207,,,,,,,,,,,,,,,,,,,,,,,,
14604,Siva1,Gm36440,LOC105246445,,,,,,,,,,,,,,,,,,,,,,,,
14605,AC125149.3,Gm15339,Gm6554,,,,,,,,,,,,,,,,,,,,,,,,
14606,D16Ertd727e,LOC100417454,Gm9575,,,,,,,,,,,,,,,,,,,,,,,,
14607,Gm18943,Tmprss11b,Cdc42bpa,,,,,,,,,,,,,,,,,,,,,,,,
14608,Mir7689,Rpl37rt,Gm5186,,,,,,,,,,,,,,,,,,,,,,,,
14609,Vmn2r-ps9,Gm16585,LOC105242435,,,,,,,,,,,,,,,,,,,,,,,,
14610,Gm6967,Gm31042,Gm9397,,,,,,,,,,,,,,,,,,,,,,,,
14611,F930017D23Rik,Glipr1l2,Rsg1,,,,,,,,,,,,,,,,,,,,,,,,
14612,Gm35227,LOC105244592,Gm595,,,,,,,,,,,,,,,,,,,,,,,,
14613,Gnpnat1,Etd,Gm9661,,,,,,,,,,,,,,,,,,,,,,,,
14614,Gm30397,Gm33714,Hamp2,,,,,,,,,,,,,,,,,,,,,,,,
14615,LOC105244368,Gm14262,Rpl31-ps1,,,,,,,,,,,,,,,,,,,,,,,,
14616,2010003K11Rik,Gm13171,Gm8623,,,,,,,,,,,,,,,,,,,,,,,,
14617,Snd1,Gm17827,Gm9919,,,,,,,,,,,,,,,,,,,,,,,,
14618,Agtpbp1,Gm2606,Gm30076,,,,,,,,,,,,,,,,,,,,,,,,
14619,AV064505,2410114N07Rik,Mbd3l1,,,,,,,,,,,,,,,,,,,,,,,,
14620,1700113H08Rik,Rhox2h,Atg14,,,,,,,,,,,,,,,,,,,,,,,,
14621,4933401H06Rik,Gm32983,Gm17455,,,,,,,,,,,,,,,,,,,,,,,,
14622,Chad,Ppp1r2-ps3,Rpl15-ps3,,,,,,,,,,,,,,,,,,,,,,,,
14623,Klhl11,Krt74,Srd5a2,,,,,,,,,,,,,,,,,,,,,,,,
14624,BC051537,Ccdc138,LOC102636060,,,,,,,,,,,,,,,,,,,,,,,,
14625,6030498E09Rik,Gm13714,Gm6194,,,,,,,,,,,,,,,,,,,,,,,,
14626,Gm15675,Zfp352,4930548K13Rik,,,,,,,,,,,,,,,,,,,,,,,,
14627,Spink11,Ifnab,Tpm3-rs3,,,,,,,,,,,,,,,,,,,,,,,,
14628,Gm11684,Gm33172,Gm15455,,,,,,,,,,,,,,,,,,,,,,,,
14629,Gm7183,Snord104,BC048644,,,,,,,,,,,,,,,,,,,,,,,,
14630,Ces1h,Ck-ps1,Ccdc66,,,,,,,,,,,,,,,,,,,,,,,,
14631,Mdfi,Gm13304,LOC105244393,,,,,,,,,,,,,,,,,,,,,,,,
14632,Ireb2,Gm16079,Prelid1,,,,,,,,,,,,,,,,,,,,,,,,
14633,Gm43698,Cyp3a25,Serpine1,,,,,,,,,,,,,,,,,,,,,,,,
14634,Gm30209,Gm7730,Gm19139,,,,,,,,,,,,,,,,,,,,,,,,
14635,Gm28933,Gm34000,Apc,,,,,,,,,,,,,,,,,,,,,,,,
14636,Gm7530,Arpc4,Gm34027,,,,,,,,,,,,,,,,,,,,,,,,
14637,1700001C19Rik,Gm18693,LOC101055843,,,,,,,,,,,,,,,,,,,,,,,,
14638,Gm6606,Gm11351,9830107B12Rik,,,,,,,,,,,,,,,,,,,,,,,,
14639,Tex13a,Gm3810,Gm31960,,,,,,,,,,,,,,,,,,,,,,,,
14640,LOC105243247,Gm18655,Fam76a,,,,,,,,,,,,,,,,,,,,,,,,
14641,Gm4761,Gm36894,Rpl7l1-ps1,,,,,,,,,,,,,,,,,,,,,,,,
14642,Fam46c,Ceacam5,2410006H16Rik,,,,,,,,,,,,,,,,,,,,,,,,
14643,Gm4825,Gm7424,B130006D01Rik,,,,,,,,,,,,,,,,,,,,,,,,
14644,LOC105244894,Gm33642,4930428E07Rik,,,,,,,,,,,,,,,,,,,,,,,,
14645,Pfkfb4,LOC105244955,2310069B03Rik,,,,,,,,,,,,,,,,,,,,,,,,
14646,Hnrnpu,C230024C17Rik,Slc25a48,,,,,,,,,,,,,,,,,,,,,,,,
14647,Snora68,Snord71,Gm29753,,,,,,,,,,,,,,,,,,,,,,,,
14648,1700010H22Rik,Gm94,Gm8168,,,,,,,,,,,,,,,,,,,,,,,,
14649,Gm14912,Emc2,Gm6823,,,,,,,,,,,,,,,,,,,,,,,,
14650,Gm43699,Olfr1458,Gm7604,,,,,,,,,,,,,,,,,,,,,,,,
14651,Abcd1,Gpbp1,LOC105246196,,,,,,,,,,,,,,,,,,,,,,,,
14652,Gm26615,LOC105243552,Slc25a31,,,,,,,,,,,,,,,,,,,,,,,,
14653,C030029H02Rik,Gm12622,Mxd3,,,,,,,,,,,,,,,,,,,,,,,,
14654,LOC105246707,Gm28822,Gm8101,,,,,,,,,,,,,,,,,,,,,,,,
14655,Gja5,Gm5473,Adad1,,,,,,,,,,,,,,,,,,,,,,,,
14656,LOC105242638,Usp17lc,Gm32966,,,,,,,,,,,,,,,,,,,,,,,,
14657,B230398E01Rik,LOC105246426,Gm30238,,,,,,,,,,,,,,,,,,,,,,,,
14658,Anp32e,LOC105244066,Atp4b,,,,,,,,,,,,,,,,,,,,,,,,
14659,Oat,Gm30613,Atad5,,,,,,,,,,,,,,,,,,,,,,,,
14660,Il10,Gm7418,Gm6167,,,,,,,,,,,,,,,,,,,,,,,,
14661,Timm13,Pidd1,Gm7537,,,,,,,,,,,,,,,,,,,,,,,,
14662,Mir698,Elmo1,Gm4766,,,,,,,,,,,,,,,,,,,,,,,,
14663,Gm32356,4930417O13Rik,Gm9547,,,,,,,,,,,,,,,,,,,,,,,,
14664,Gm13410,Olfr55,Ttc16,,,,,,,,,,,,,,,,,,,,,,,,
14665,LOC105242980,Gm7654,Gm15354,,,,,,,,,,,,,,,,,,,,,,,,
14666,Gm36384,Gm12091,Atp5l-ps1,,,,,,,,,,,,,,,,,,,,,,,,
14667,Npvf,Rpl5-ps1,Cops4,,,,,,,,,,,,,,,,,,,,,,,,
14668,Rnf181,Gm4791,Gm18169,,,,,,,,,,,,,,,,,,,,,,,,
14669,Gm42500,Gm31011,Gm8870,,,,,,,,,,,,,,,,,,,,,,,,
14670,Gm31925,Gm13661,Vps11,,,,,,,,,,,,,,,,,,,,,,,,
14671,Gm11349,Apon,Gm6244,,,,,,,,,,,,,,,,,,,,,,,,
14672,LOC105245729,Gm11258,Olfr378,,,,,,,,,,,,,,,,,,,,,,,,
14673,1700007K09Rik,LOC105244410,Rgs21,,,,,,,,,,,,,,,,,,,,,,,,
14674,Gm5139,Csf3,Mir6953,,,,,,,,,,,,,,,,,,,,,,,,
14675,Gm35570,Gm27242,Gm19829,,,,,,,,,,,,,,,,,,,,,,,,
14676,Gm30280,LOC105243120,Arcn1,,,,,,,,,,,,,,,,,,,,,,,,
14677,9530053A07Rik,Gm14225,Rpl36-ps10,,,,,,,,,,,,,,,,,,,,,,,,
14678,Gm3642,Zscan4d,Rplp0-ps1,,,,,,,,,,,,,,,,,,,,,,,,
14679,Gm32860,Gm14575,LOC105243476,,,,,,,,,,,,,,,,,,,,,,,,
14680,Gm13977,Gm12527,Gm3495,,,,,,,,,,,,,,,,,,,,,,,,
14681,Gm4270,RP23-92E8.2,Gm1833,,,,,,,,,,,,,,,,,,,,,,,,
14682,Gm9553,LOC105246396,Gipc3,,,,,,,,,,,,,,,,,,,,,,,,
14683,Mir130b,Vmn1r21,Gm20599,,,,,,,,,,,,,,,,,,,,,,,,
14684,Gm35934,Cyp4a14,LOC105244931,,,,,,,,,,,,,,,,,,,,,,,,
14685,Zfp65,LOC105244364,Zscan2,,,,,,,,,,,,,,,,,,,,,,,,
14686,LOC105246230,LOC105242467,Gm12067,,,,,,,,,,,,,,,,,,,,,,,,
14687,1700102J08Rik,Asxl1,Gm15568,,,,,,,,,,,,,,,,,,,,,,,,
14688,Rab7-ps1,Gm18617,Gm2991,,,,,,,,,,,,,,,,,,,,,,,,
14689,Tnik,Ift88os,LOC105244037,,,,,,,,,,,,,,,,,,,,,,,,
14690,Gm13651,LOC105243306,Gm29728,,,,,,,,,,,,,,,,,,,,,,,,
14691,Gm12238,Gm28178,Gm11284,,,,,,,,,,,,,,,,,,,,,,,,
14692,Tfb2m,4930570N18Rik,Surf1,,,,,,,,,,,,,,,,,,,,,,,,
14693,Cars2,LOC105246463,Gm31121,,,,,,,,,,,,,,,,,,,,,,,,
14694,Mir381,Tlr9,Gm32809,,,,,,,,,,,,,,,,,,,,,,,,
14695,Gm14553,4933427E11Rik,LOC105245106,,,,,,,,,,,,,,,,,,,,,,,,
14696,Gm4432,Gm35691,Gm21082,,,,,,,,,,,,,,,,,,,,,,,,
14697,LOC105246628,Mir350,Gm8816,,,,,,,,,,,,,,,,,,,,,,,,
14698,Gm18255,Gm15691,RP24-443G20.1,,,,,,,,,,,,,,,,,,,,,,,,
14699,Gm30179,Gm42882,Gm34777,,,,,,,,,,,,,,,,,,,,,,,,
14700,Dgkeos,G730013B05Rik,Gm9062,,,,,,,,,,,,,,,,,,,,,,,,
14701,Sh2b3,Gabbr2,9530046B11Rik,,,,,,,,,,,,,,,,,,,,,,,,
14702,LOC105246245,Med11,LOC105245904,,,,,,,,,,,,,,,,,,,,,,,,
14703,Tbx19,Olfr545,Gm43325,,,,,,,,,,,,,,,,,,,,,,,,
14704,Cep44,Col4a6,C130083M11Rik,,,,,,,,,,,,,,,,,,,,,,,,
14705,BB123696,4930543E12Rik,Gm14141,,,,,,,,,,,,,,,,,,,,,,,,
14706,4930529K09Rik,LOC105246848,Gm14231,,,,,,,,,,,,,,,,,,,,,,,,
14707,Syne4,Cnot2,Gm16793,,,,,,,,,,,,,,,,,,,,,,,,
14708,Slc25a15,1700125G02Rik,Glud-ps,,,,,,,,,,,,,,,,,,,,,,,,
14709,Gm5845,Gm10401,Gm34889,,,,,,,,,,,,,,,,,,,,,,,,
14710,Bpifa6,LOC105245309,TrnG,,,,,,,,,,,,,,,,,,,,,,,,
14711,Oit1,LOC102637219,Gm35248,,,,,,,,,,,,,,,,,,,,,,,,
14712,Gm8755,Gm6984,Nop2,,,,,,,,,,,,,,,,,,,,,,,,
14713,Gm18005,Prpf38b,Gm31156,,,,,,,,,,,,,,,,,,,,,,,,
14714,Gm34269,Magea10,Gm8849,,,,,,,,,,,,,,,,,,,,,,,,
14715,Capn13,Gm35942,LOC105246808,,,,,,,,,,,,,,,,,,,,,,,,
14716,Gm12725,Ccl5,Gm5384,,,,,,,,,,,,,,,,,,,,,,,,
14717,Gm4978,Gm17797,Gm20223,,,,,,,,,,,,,,,,,,,,,,,,
14718,Zc3hc1,Gm21655,Gm34262,,,,,,,,,,,,,,,,,,,,,,,,
14719,LOC105242673,Gm36550,Mmrn1,,,,,,,,,,,,,,,,,,,,,,,,
14720,Gm20390,Gm5230,Cmpk1,,,,,,,,,,,,,,,,,,,,,,,,
14721,Prp2,Gm12604,Sult1c1,,,,,,,,,,,,,,,,,,,,,,,,
14722,Gm4566,LOC105242871,Gm16755,,,,,,,,,,,,,,,,,,,,,,,,
14723,Gm31709,Gm17518,Gm6373,,,,,,,,,,,,,,,,,,,,,,,,
14724,Hk3,Gm14032,Gsta2,,,,,,,,,,,,,,,,,,,,,,,,
14725,Scamp1,Gm31117,Pet100,,,,,,,,,,,,,,,,,,,,,,,,
14726,Tdgf1,Gm3821,Gm8238,,,,,,,,,,,,,,,,,,,,,,,,
14727,Fip1l1,Gm36872,Gm18957,,,,,,,,,,,,,,,,,,,,,,,,
14728,Smpx,Rd3l,Trmt112-ps1,,,,,,,,,,,,,,,,,,,,,,,,
14729,Gm5269,Rpl31-ps4,LOC105245999,,,,,,,,,,,,,,,,,,,,,,,,
14730,Gml,4930401O10Rik,Snord38a,,,,,,,,,,,,,,,,,,,,,,,,
14731,Mss51,Ptf1a,Gm4866,,,,,,,,,,,,,,,,,,,,,,,,
14732,Gm2999,Mir7647,4930451E10Rik,,,,,,,,,,,,,,,,,,,,,,,,
14733,Gm34037,Gm31318,Map3k3,,,,,,,,,,,,,,,,,,,,,,,,
14734,Nfu1,Gm19031,Tpt1-ps2,,,,,,,,,,,,,,,,,,,,,,,,
14735,H2-Q6,Gm3489,Marveld2,,,,,,,,,,,,,,,,,,,,,,,,
14736,Gm37915,Gm7895,Gm5582,,,,,,,,,,,,,,,,,,,,,,,,
14737,LOC105245574,LOC102639511,Gm8233,,,,,,,,,,,,,,,,,,,,,,,,
14738,Rpl31-ps7,Gm26944,1810018F18Rik,,,,,,,,,,,,,,,,,,,,,,,,
14739,Oip5,LOC105245095,Gm5391,,,,,,,,,,,,,,,,,,,,,,,,
14740,Olfr271-ps1,Krt75,Pfn2,,,,,,,,,,,,,,,,,,,,,,,,
14741,Lcn6,Gm14534,Gm5597,,,,,,,,,,,,,,,,,,,,,,,,
14742,Gm2832,Gm9399,Ltv1,,,,,,,,,,,,,,,,,,,,,,,,
14743,Gm13242,Gm34732,Gm17806,,,,,,,,,,,,,,,,,,,,,,,,
14744,Stat1,Ppm1a,Gm6657,,,,,,,,,,,,,,,,,,,,,,,,
14745,Ghsr,LOC102640199,Zscan22,,,,,,,,,,,,,,,,,,,,,,,,
14746,4930557K07Rik,LOC105244906,Prss23os,,,,,,,,,,,,,,,,,,,,,,,,
14747,4930503H13Rik,4933404K08Rik,Gm16409,,,,,,,,,,,,,,,,,,,,,,,,
14748,Gm5800,Gm10226,Gm34450,,,,,,,,,,,,,,,,,,,,,,,,
14749,Gm26519,Gm7714,Rps23-ps1,,,,,,,,,,,,,,,,,,,,,,,,
14750,Gm8493,Gm16011,LOC102638254,,,,,,,,,,,,,,,,,,,,,,,,
14751,Vmn2r21,LOC105244389,Gm29743,,,,,,,,,,,,,,,,,,,,,,,,
14752,Topaz1,4930583I09Rik,LOC105245626,,,,,,,,,,,,,,,,,,,,,,,,
14753,LOC329316,Olfr1432,Snord33,,,,,,,,,,,,,,,,,,,,,,,,
14754,Gm31196,Gm34873,Esrp1,,,,,,,,,,,,,,,,,,,,,,,,
14755,Rptor,LOC105242897,Gm12881,,,,,,,,,,,,,,,,,,,,,,,,
14756,Gpx4-ps,LOC105243115,Lrrc28,,,,,,,,,,,,,,,,,,,,,,,,
14757,Bend3,Gm35803,Gm6439,,,,,,,,,,,,,,,,,,,,,,,,
14758,Cyp2e1,BC037704,Gm6226,,,,,,,,,,,,,,,,,,,,,,,,
14759,Oosp3,Gm42904,Otud6b,,,,,,,,,,,,,,,,,,,,,,,,
14760,Gm5374,Becn2,Gm12947,,,,,,,,,,,,,,,,,,,,,,,,
14761,LOC105243057,2410004N09Rik,Gm9435,,,,,,,,,,,,,,,,,,,,,,,,
14762,Tmem115,Gm16318,LOC102641385,,,,,,,,,,,,,,,,,,,,,,,,
14763,Gm20268,Gm21650,Dao,,,,,,,,,,,,,,,,,,,,,,,,
14764,A730085K08Rik,Gm3619,Gm36658,,,,,,,,,,,,,,,,,,,,,,,,
14765,Hist1h2bl,Gm2157,Clec4d,,,,,,,,,,,,,,,,,,,,,,,,
14766,Axdnd1,Gm40,Vmn1r-ps60,,,,,,,,,,,,,,,,,,,,,,,,
14767,Gm10126,Gm28548,Gm7368,,,,,,,,,,,,,,,,,,,,,,,,
14768,Epx,6330419J24Rik,Gm3148,,,,,,,,,,,,,,,,,,,,,,,,
14769,LOC102642297,Mrpl57,Parg,,,,,,,,,,,,,,,,,,,,,,,,
14770,Gm6059,Il11ra2,Atf6b,,,,,,,,,,,,,,,,,,,,,,,,
14771,Gm27217,Gm32058,Lrrc8a,,,,,,,,,,,,,,,,,,,,,,,,
14772,Hoxaas3,Gm3861,LOC101055888,,,,,,,,,,,,,,,,,,,,,,,,
14773,Gm16427,Platr3,Gm19186,,,,,,,,,,,,,,,,,,,,,,,,
14774,Prrxl1,Gm5383,Gm2996,,,,,,,,,,,,,,,,,,,,,,,,
14775,Gm42912,Gm16017,Gm11964,,,,,,,,,,,,,,,,,,,,,,,,
14776,Gm26694,Gm16035,LOC102639915,,,,,,,,,,,,,,,,,,,,,,,,
14777,Elavl1,Gm36149,Gm5492,,,,,,,,,,,,,,,,,,,,,,,,
14778,LOC102631952,Gm4827,Gm4353,,,,,,,,,,,,,,,,,,,,,,,,
14779,Hist1h4a,9230009I02Rik,Apol9b,,,,,,,,,,,,,,,,,,,,,,,,
14780,Gm19228,Gm9745,Gm10259,,,,,,,,,,,,,,,,,,,,,,,,
14781,Gm15839,LOC105245464,Sept8,,,,,,,,,,,,,,,,,,,,,,,,
14782,Cyp2d34,Vmn2r22,Ppp1r2-ps1,,,,,,,,,,,,,,,,,,,,,,,,
14783,Prf1,Scarna9,Gm5550,,,,,,,,,,,,,,,,,,,,,,,,
14784,Slc39a4,Triap1,Gm29825,,,,,,,,,,,,,,,,,,,,,,,,
14785,Gm10015,Gm29701,Ppm1n,,,,,,,,,,,,,,,,,,,,,,,,
14786,Mif-ps3,Gm35147,Gm13332,,,,,,,,,,,,,,,,,,,,,,,,
14787,Ccdc24,LOC105243933,1700074H08Rik,,,,,,,,,,,,,,,,,,,,,,,,
14788,Klra5,Rps18,Rps4l-ps,,,,,,,,,,,,,,,,,,,,,,,,
14789,Ppp1r14d,Gm26850,Slc23a1,,,,,,,,,,,,,,,,,,,,,,,,
14790,5430440P10Rik,LOC105245157,LOC105243113,,,,,,,,,,,,,,,,,,,,,,,,
14791,Gm29834,Olfr8,Asb17os,,,,,,,,,,,,,,,,,,,,,,,,
14792,Gm10288,Gm42434,Gm7389,,,,,,,,,,,,,,,,,,,,,,,,
14793,Adamts3,Gm30551,Gm10719,,,,,,,,,,,,,,,,,,,,,,,,
14794,Gm16425,Gm18015,Gm12411,,,,,,,,,,,,,,,,,,,,,,,,
14795,Gm9762,LOC102641498,Tbcc,,,,,,,,,,,,,,,,,,,,,,,,
14796,Gm10857,Gm11541,Evx2,,,,,,,,,,,,,,,,,,,,,,,,
14797,LOC105247094,Gm34794,Aven,,,,,,,,,,,,,,,,,,,,,,,,
14798,Gm10439,Gm36235,F8a,,,,,,,,,,,,,,,,,,,,,,,,
14799,Smg7,Gm6806,Gm8083,,,,,,,,,,,,,,,,,,,,,,,,
14800,Gm8387,Fbn2,Gm34067,,,,,,,,,,,,,,,,,,,,,,,,
14801,Mettl17,Gm33427,Edil3,,,,,,,,,,,,,,,,,,,,,,,,
14802,Il1r2,Il1rn,Gm6684,,,,,,,,,,,,,,,,,,,,,,,,
14803,Gm35398,Klra17,Gm31709,,,,,,,,,,,,,,,,,,,,,,,,
14804,Gm34653,Mcpt-ps1,Ang-ps1,,,,,,,,,,,,,,,,,,,,,,,,
14805,Gm31157,Hmgb4os,Gm13974,,,,,,,,,,,,,,,,,,,,,,,,
14806,Gm37650,Gm7091,LOC102632952,,,,,,,,,,,,,,,,,,,,,,,,
14807,Gm11361,Spopl,Mir155hg,,,,,,,,,,,,,,,,,,,,,,,,
14808,Gm27194,Gm20481,LOC102633254,,,,,,,,,,,,,,,,,,,,,,,,
14809,Tmem68,Gm3940,Gm20356,,,,,,,,,,,,,,,,,,,,,,,,
14810,Gm11214,Gm16249,Trim55,,,,,,,,,,,,,,,,,,,,,,,,
14811,LOC105244510,Smok2a,Cacng8,,,,,,,,,,,,,,,,,,,,,,,,
14812,LOC105247202,Mir6999,Cfap20,,,,,,,,,,,,,,,,,,,,,,,,
14813,Rpl3-ps2,Gm33497,Gm31104,,,,,,,,,,,,,,,,,,,,,,,,
14814,LOC100503946,Prpf3,Gm6285,,,,,,,,,,,,,,,,,,,,,,,,
14815,LOC105245586,Gm32603,4933440J02Rik,,,,,,,,,,,,,,,,,,,,,,,,
14816,Kif16bos,RP23-32A8.11,Gm8902,,,,,,,,,,,,,,,,,,,,,,,,
14817,Podnl1,Gm18687,Gm29318,,,,,,,,,,,,,,,,,,,,,,,,
14818,Gm4521,Gm17026,Mir684-2,,,,,,,,,,,,,,,,,,,,,,,,
14819,Mc4r,Gm33048,Cd3eap,,,,,,,,,,,,,,,,,,,,,,,,
14820,Snf8,Serpinb12,Gm6693,,,,,,,,,,,,,,,,,,,,,,,,
14821,Gm16181,Gm5388,Gm32958,,,,,,,,,,,,,,,,,,,,,,,,
14822,LOC105245908,Arl14epl,4921514A10Rik,,,,,,,,,,,,,,,,,,,,,,,,
14823,Gm9211,Gm27217,Gm9098,,,,,,,,,,,,,,,,,,,,,,,,
14824,Actl7a,Cd40,Gm26804,,,,,,,,,,,,,,,,,,,,,,,,
14825,Gm13592,RP24-84O13.6,Cacng1,,,,,,,,,,,,,,,,,,,,,,,,
14826,Gm7286,Prss42,Gm28209,,,,,,,,,,,,,,,,,,,,,,,,
14827,Gm19056,LOC105243117,Mir5121,,,,,,,,,,,,,,,,,,,,,,,,
14828,Mn1,Parp1,Epb4.1l4a,,,,,,,,,,,,,,,,,,,,,,,,
14829,Gm12354,Gm18488,Gm35498,,,,,,,,,,,,,,,,,,,,,,,,
14830,LOC105246331,Gm31505,Gm12019,,,,,,,,,,,,,,,,,,,,,,,,
14831,Gm6135,Gm13668,Gm29720,,,,,,,,,,,,,,,,,,,,,,,,
14832,Rabl3,RP23-184K1.3,Gm4754,,,,,,,,,,,,,,,,,,,,,,,,
14833,Rdh16,Gm16391,Pdk1,,,,,,,,,,,,,,,,,,,,,,,,
14834,Dennd5b,Gm5298,LOC102639109,,,,,,,,,,,,,,,,,,,,,,,,
14835,LOC105242600,Zscan30,6030426L16Rik,,,,,,,,,,,,,,,,,,,,,,,,
14836,Azgp1,1700037F24Rik,LOC100534290,,,,,,,,,,,,,,,,,,,,,,,,
14837,Gm16272,Gm15826,Mrpl1,,,,,,,,,,,,,,,,,,,,,,,,
14838,Gm11383,Crebbp,Gm9051,,,,,,,,,,,,,,,,,,,,,,,,
14839,Cfap73,Tmem203,Rpl9-ps4,,,,,,,,,,,,,,,,,,,,,,,,
14840,Olfr280-ps1,Gm19141,Tmem138,,,,,,,,,,,,,,,,,,,,,,,,
14841,Gm17518,Gm9920,4930474N05Rik,,,,,,,,,,,,,,,,,,,,,,,,
14842,Gm31966,Serpina3m,Gm29781,,,,,,,,,,,,,,,,,,,,,,,,
14843,LOC105242941,Nr5a1os,Olfr274-ps1,,,,,,,,,,,,,,,,,,,,,,,,
14844,Myl10,LOC105245779,Gm13440,,,,,,,,,,,,,,,,,,,,,,,,
14845,Olfr401,Gm18782,Rpl36-ps6,,,,,,,,,,,,,,,,,,,,,,,,
14846,Gm21269,Isl1,Gm19238,,,,,,,,,,,,,,,,,,,,,,,,
14847,Prpf31,LOC105243860,Gm16423,,,,,,,,,,,,,,,,,,,,,,,,
14848,5430428K19Rik,LOC102640696,Gm20150,,,,,,,,,,,,,,,,,,,,,,,,
14849,Agt,2410021H03Rik,4933402J10Rik,,,,,,,,,,,,,,,,,,,,,,,,
14850,Chst13,Tmco5b,Gm7539,,,,,,,,,,,,,,,,,,,,,,,,
14851,Gm7693,Gm2976,Dhx38,,,,,,,,,,,,,,,,,,,,,,,,
