,SF_IN,SF_EX,SF_NN,CU_IN,CU_EX,CU_NN,TA_IN,TA_EX,TA_NN,TN_IN,TN_EX,TN_NN,SM_EX_L2.3.IT,SM_EX_L5.6.NP,SM_EX_L5.ET,SM_EX_L5.IT,SM_EX_L6.CT,SM_EX_L6.IT.Car3,SM_EX_L6b,SM_IN_Lamp5,SM_IN_Pvalb,SM_IN_Sncg,SM_IN_Sst,SM_IN_Vip,SC_IN,SC_EX,SC_NN
82,Crhbp,Tshz2,Htra1,,,,,,,,,,Epb41l2,Frmpd1,Adra1a,Lemd1,Gm34991,Trem2,Gm45323,Ror1,Ch25h,Cdkn1c,Gpc5,Htr3a,,,
83,Pnoc,Ankrd33b,Dio2,,,,,,,,,,Itpkb,Slc7a3,Bcl11b,Shisa6,LOC102641120,Cacng5,Gm45341,Ephb1,Aff1,Emp2,Htr1a,Sorcs1,,,
84,Arx,Kcng1,Slc7a11,,,,,,,,,,Spata13,Ptger3,Fgf11,Sec16b,Gm45949,Gem,AC124490.1,Lsp1,Nefl,Tmem176a,4930452B06Rik,Pcdh20,,,
85,Nr2f2,Lyzl4,Ptprz1,,,,,,,,,,Gm20754,Ascl1,Pde9a,Opn3,Gm34992,Gm8281,Gm49267,Slc35d3,Ostn,Gprin3,Tox,Pkib,,,
86,A330050F15Rik,Dkk3,Arhgef26,,,,,,,,,,Hpgd,Sash1,Ppargc1a,Gpr83,Tcrb,Igf1,Gm45321,Ptchd2,C230035I16Rik,Shisa9,Rab3b,Hpcal1,,,
87,Egfr,4921539H07Rik,Pax6,,,,,,,,,,Lifr,Fam210b,Ugt8a,Hs3st1,Abhd11os,Eya1,Tnmd,Gm47359,Gm45904,Cachd1,Ptn,Pcsk1,,,
88,Mafb,Lmo4,Bcan,,,,,,,,,,Adamts3,Cpne4,Pip5kl1,Krt20,Ly6d,Aldh1a1,Adra2a,Vim,Adm,Nell1,Chrna2,Ryr3,,,
89,Ngf,Stx1a,Notch1,,,,,,,,,,Zfhx4,Chn2,A330093E20Rik,Bok,Raet1e,Pwwp2b,Olfr112,Gpr6,Eya4,Necab2,Myh13,A830019P07Rik,,,
90,Arl4c,Tyro3,Pld1,,,,,,,,,,Gm20063,Ass1,Kctd8,C2cd4b,Cabp5,Tdrd5,Thbs2,Gm45680,Gm26673,Tmem176b,Baiap3,Slc44a5,,,
91,Nacc2,Gm13601,Pdlim5,,,,,,,,,,Pifo,Grin3a,Fezf2,Mamdc2,H60b,Gm17473,Lman1l,Il20ra,Adamts1,Stk32c,Rprml,Mylip,,,
92,Fndc1,Kcnk4,Rftn2,,,,,,,,,,Gm765,Col12a1,Cacna2d2,Col8a1,LOC105243280,Tpm4,F2r,Stc1,Spsb4,Fgf1,Myh4,Wnt7a,,,
93,Nek7,Ipcef1,Ppp1r3c,,,,,,,,,,Eya1,Cgn,Amdhd1,Xirp2,Gm13391,9530026P05Rik,Adm,Disp3,Slit3,Ppp1r1c,Cd44,Igfbp7,,,
94,AF529169,Smoc2,Cldn10,,,,,,,,,,Arr3,Nkain3,Lrrc9,Met,Gpr139,Xkr7,Gdf10,Cdh24,Cckbr,Sln,Myh8,Myl1,,,
95,Rbp4,Tesc,H2-K1,,,,,,,,,,Sag,Cyp7b1,Pvalb,Ctxn3,Fam150a,Sh3gl3,Psd4,Bmp4,Impa2,Casq2,Susd2,Rprm,,,
96,Pcdh8,Rai14,Clmn,,,,,,,,,,Ddit4l,Bcat1,Stk17b,Dcdc2a,Ceacam9,Cald1,Rasgrp3,Igfbp2,Tgfbr2,4930555F03Rik,Vgll3,Crlf1,,,
97,Gm5087,Islr2,Clic4,,,,,,,,,,Grm1,Gpr63,Adgrg3,1700016K05Rik,Dsc2,Mctp2,Fgf11,Pdgfrl,Etv6,C1ql1,Fibcd1,Fgfr3,,,
98,Moxd1,Gm20752,Rapgef3,,,,,,,,,,S100a6,Dcc,Gm13211,Gm34819,Cldn10,Kitl,Adgrg6,Gdf10,Fam129a,Gm45341,4930473D10Rik,Rgs16,,,
99,Sytl5,Synpo,Ston2,,,,,,,,,,Tmem215,Zcchc12,Fgf18,Gm6212,Aif1,Ppp1r1a,A330070K13Rik,Dchs2,Mustn1,Chrna3,Ffar4,Kcnj2,,,
100,Lypd6,Anxa11,Plcd4,,,,,,,,,,,,,,,,,,,,,,,,
101,Frmpd1,6530403H02Rik,Gsn,,,,,,,,,,,,,,,,,,,,,,,,
102,Cacna2d2,Prss12,Ttyh2,,,,,,,,,,,,,,,,,,,,,,,,
103,Frmd4b,Wdr66,Slc15a2,,,,,,,,,,,,,,,,,,,,,,,,
